Year,Movie,Award,Winner
2000,Gladiator,Oscar,Y
2000,"Crouching Tiger, Hidden Dragon",Oscar,N
2000,How the Grinch Stole Christmas,Oscar,N
2000,102 Dalmatians,Oscar,N
2000,Quills,Oscar,N
2001,Moulin Rouge!,Oscar,Y
2001,The Affair of the Necklace,Oscar,N
2001,Gosford Park,Oscar,N
2001,Harry Potter and the Sorcerer's Stone,Oscar,N
2001,The Lord of the Rings: The Fellowship of the Ring,Oscar,N
2002,Chicago,Oscar,Y
2002,Frida,Oscar,N
2002,Gangs of New York,Oscar,N
2002,The Hours,Oscar,N
2002,The Pianist,Oscar,N
2003,The Lord of the Rings: The Return of the King,Oscar,Y
2003,Girl with a Pearl Earring,Oscar,N
2003,The Last Samurai,Oscar,N
2003,Master and Commander: The Far Side of the World,Oscar,N
2003,Seabiscuit,Oscar,N
2004,The Aviator,Oscar,Y
2004,Finding Neverland,Oscar,N
2004,Lemony Snicket's A Series of Unfortunate Events,Oscar,N
2004,Ray,Oscar,N
2004,Troy,Oscar,N
2005,Memoirs of a Geisha,Oscar,Y
2005,Charlie and the Chocolate Factory,Oscar,N
2005,Mrs Henderson Presents,Oscar,N
2005,Pride & Prejudice,Oscar,N
2005,Walk the Line,Oscar,N
2006,Marie Antoinette,Oscar,Y
2006,Curse of the Golden Flower,Oscar,N
2006,The Devil Wears Prada,Oscar,N
2006,Dreamgirls,Oscar,N
2006,The Queen,Oscar,N
2007,Elizabeth: The Golden Age,Oscar,Y
2007,Across the Universe,Oscar,N
2007,Atonement,Oscar,N
2007,La Vie en Rose,Oscar,N
2007,Sweeney Todd: The Demon Barber of Fleet Street,Oscar,N
2008,The Duchess,Oscar,Y
2008,Australia,Oscar,N
2008,The Curious Case of Benjamin Button,Oscar,N
2008,Milk,Oscar,N
2008,Revolutionary Road,Oscar,N
2009,The Young Victoria,Oscar,Y
2009,Bright Star,Oscar,N
2009,Coco Before Chanel (Coco avant Chanel),Oscar,N
2009,The Imaginarium of Doctor Parnassus,Oscar,N
2009,Nine,Oscar,N
2010,Alice in Wonderland,Oscar,Y
2010,I Am Love,Oscar,N
2010,The King's Speech,Oscar,N
2010,The Tempest,Oscar,N
2010,True Grit,Oscar,N
2011,The Artist,Oscar,Y
2011,Anonymous,Oscar,N
2011,Hugo,Oscar,N
2011,Jane Eyre,Oscar,N
2011,W.E.,Oscar,N
2012,Anna Karenina,Oscar,Y
2012,Les Misérables,Oscar,N
2012,Lincoln,Oscar,N
2012,Mirror Mirror,Oscar,N
2012,Snow White and the Huntsman,Oscar,N
2013,The Great Gatsby,Oscar,Y
2013,American Hustle,Oscar,N
2013,The Grandmaster,Oscar,N
2013,The Invisible Woman,Oscar,N
2013,12 Years a Slave,Oscar,N
2014,The Grand Budapest Hotel,Oscar,Y
2014,Inherent Vice,Oscar,N
2014,Into the Woods,Oscar,N
2014,Maleficent,Oscar,N
2014,Mr. Turner,Oscar,N
2015,Mad Max: Fury Road,Oscar,Y
2015,Carol,Oscar,N
2015,Cinderella,Oscar,N
2015,The Danish Girl,Oscar,N
2015,The Revenant,Oscar,N
2016,Fantastic Beasts and Where to Find Them,Oscar,Y
2016,Allied,Oscar,N
2016,Florence Foster Jenkins,Oscar,N
2016,Jackie,Oscar,N
2016,La La Land,Oscar,N
2017,Beauty and the Beast,Oscar,
2017,Darkest Hour,Oscar,
2017,Phantom Thread,Oscar,
2017,The Shape of Water,Oscar,
2017,Victoria & Abdul,Oscar,
2000,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",BAFTA,Y
2000,Chocolat,BAFTA,N
2000,Gladiator,BAFTA,N
2000,"O Brother, Where Art Thou?",BAFTA,N
2000,Quills,BAFTA,N
2001,Gosford Park,BAFTA,Y
2001,Harry Potter and the Philosopher's Stone,BAFTA,N
2001,The Lord of the Rings: The Fellowship of the Ring,BAFTA,N
2001,Moulin Rouge!,BAFTA,N
2001,Planet of the Apes,BAFTA,N
2002,The Lord of the Rings: The Two Towers,BAFTA,Y
2002,Catch Me If You Can,BAFTA,N
2002,Chicago,BAFTA,N
2002,Frida,BAFTA,N
2002,Gangs of New York,BAFTA,N
2003,Master and Commander: The Far Side of the World,BAFTA,Y
2003,Cold Mountain,BAFTA,N
2003,Girl with a Pearl Earring,BAFTA,N
2003,The Lord of the Rings: The Return of the King,BAFTA,N
2003,Pirates of the Caribbean: The Curse of the Black Pearl,BAFTA,N
2004,Vera Drake,BAFTA,Y
2004,The Aviator,BAFTA,N
2004,Finding Neverland,BAFTA,N
2004,House of Flying Daggers (Shi mian mai fu),BAFTA,N
2004,The Merchant of Venice,BAFTA,N
2005,Memoirs of a Geisha,BAFTA,Y
2005,Charlie and the Chocolate Factory,BAFTA,N
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BAFTA,N
2005,Mrs Henderson Presents,BAFTA,N
2005,Pride & Prejudice,BAFTA,N
2006,Pan's Labyrinth (El laberinto del fauno),BAFTA,Y
2006,The Devil Wears Prada,BAFTA,N
2006,Marie Antoinette,BAFTA,N
2006,Pirates of the Caribbean: Dead Man's Chest,BAFTA,N
2006,The Queen,BAFTA,N
2007,La Vie en Rose (La môme),BAFTA,Y
2007,Atonement,BAFTA,N
2007,Elizabeth: The Golden Age,BAFTA,N
2007,"Lust, Caution",BAFTA,N
2007,Sweeney Todd: The Demon Barber of Fleet Street,BAFTA,N
2008,The Duchess,BAFTA,Y
2008,Changeling,BAFTA,N
2008,The Curious Case of Benjamin Button,BAFTA,N
2008,The Dark Knight,BAFTA,N
2008,Revolutionary Road,BAFTA,N
2009,The Young Victoria,BAFTA,Y
2009,Bright Star,BAFTA,N
2009,Coco Before Chanel (Coco avant Chanel),BAFTA,N
2009,An Education,BAFTA,N
2009,A Single Man,BAFTA,N
2010,Alice in Wonderland,BAFTA,Y
2010,Black Swan,BAFTA,N
2010,The King's Speech,BAFTA,N
2010,Made in Dagenham,BAFTA,N
2010,True Grit,BAFTA,N
2011,The Artist,BAFTA,Y
2011,Tinker Tailor Soldier Spy,BAFTA,N
2011,Jane Eyre,BAFTA,N
2011,Hugo,BAFTA,N
2011,My Week with Marilyn,BAFTA,N
2012,Anna Karenina,BAFTA,Y
2012,Great Expectations,BAFTA,N
2012,Les Misérables,BAFTA,N
2012,Allied,BAFTA,N
2012,Snow White and the Huntsman,BAFTA,N
2013,The Great Gatsby,BAFTA,Y
2013,American Hustle,BAFTA,N
2013,Behind the Candelabra,BAFTA,N
2013,The Invisible Woman,BAFTA,N
2013,Saving Mr. Banks,BAFTA,N
2014,The Grand Budapest Hotel,BAFTA,Y
2014,The Imitation Game,BAFTA,N
2014,Into the Woods,BAFTA,N
2014,Mr. Turner,BAFTA,N
2014,The Theory of Everything,BAFTA,N
2015,Mad Max: Fury Road,BAFTA,Y
2015,Brooklyn,BAFTA,N
2015,Carol,BAFTA,N
2015,Cinderella,BAFTA,N
2015,The Danish Girl,BAFTA,N
2016,Jackie,BAFTA,Y
2016,Allied,BAFTA,N
2016,Fantastic Beasts and Where to Find Them,BAFTA,N
2016,Florence Foster Jenkins,BAFTA,N
2016,La La Land,BAFTA,N
2017,Beauty and the Beast,BAFTA,Y
2017,Darkest Hour,BAFTA,N
2017,"I, Tonya",BAFTA,N
2017,Phantom Thread,BAFTA,N
2017,The Shape of Water,BAFTA,N
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",CDGA-F,Y
2006,Pan's Labyrinth (El laberinto del fauno),CDGA-F,Y
2007,The Golden Compass,CDGA-F,Y
2008,The Dark Knight,CDGA-F,Y
2009,The Imaginarium of Doctor Parnassus,CDGA-F,Y
2010,Alice in Wonderland,CDGA-F,Y
2011,Harry Potter and the Deathly Hallows – Part 2,CDGA-F,Y
2012,Mirror Mirror,CDGA-F,Y
2013,The Hunger Games: Catching Fire,CDGA-F,Y
2014,Into the Woods,CDGA-F,Y
2015,Mad Max: Fury Road,CDGA-F,Y
2016,Doctor Strange,CDGA-F,Y
2000,How the Grinch Stole Christmas,CDGA-FP,Y
2001,Harry Potter and the Sorcerer's Stone,CDGA-FP,Y
2002,Chicago,CDGA-FP,Y
2003,The Lord of the Rings: The Return of the King,CDGA-FP,Y
2004,Lemony Snicket's A Series of Unfortunate Events,CDGA-FP,Y
2005,Memoirs of a Geisha,CDGA-P,Y
2006,Curse of the Golden Flower (Man cheng jin dai huang jin jia),CDGA-P,Y
2007,Sweeney Todd: The Demon Barber of Fleet Street,CDGA-P,Y
2008,The Duchess,CDGA-P,Y
2009,The Young Victoria,CDGA-P,Y
2010,The King's Speech,CDGA-P,Y
2011,W.E.,CDGA-P,Y
2012,Anna Karenina,CDGA-P,Y
2013,12 Years a Slave,CDGA-P,Y
2014,The Grand Budapest Hotel,CDGA-P,Y
2015,The Danish Girl,CDGA-P,Y
2016,Hidden Figures,CDGA-P,Y
2000,Erin Brockovich,CDGA-C,Y
2001,The Royal Tenenbaums,CDGA-C,Y
2002,About Schmidt,CDGA-C,Y
2003,A Mighty Wind,CDGA-C,Y
2004,The Life Aquatic with Steve Zissou,CDGA-C,Y
2005,Transamerica,CDGA-C,Y
2006,The Queen,CDGA-C,Y
2007,Blades of Glory,CDGA-C,Y
2008,Slumdog Millionaire,CDGA-C,Y
2009,Crazy Heart,CDGA-C,Y
2010,Black Swan,CDGA-C,Y
2011,The Girl with the Dragon Tattoo,CDGA-C,Y
2012,Skyfall,CDGA-C,Y
2013,Blue Jasmine,CDGA-C,Y
2014,Birdman or (The Unexpected Virtue of Ignorance),CDGA-C,Y
2015,Beasts of No Nation,CDGA-C,Y
2016,La La Land,CDGA-C,Y
2017,Get Out,CDGA-C,
2017,"I, Tonya",CDGA-C,
2017,Kingsman: The Golden Circle,CDGA-C,
2017,Lady Bird,CDGA-C,
2017,"Three Billboards Outside Ebbing, Missouri",CDGA-C,
2017,Dunkrik,CDGA-P,
2017,Murder on the Orient Express,CDGA-P,
2017,Phantom Thread,CDGA-P,
2017,The Greatest Showman,CDGA-P,
2017,The Shape of Water,CDGA-P,
2017,Beauty and the Beast,CDGA-F,
2017,Blade Runner 2049,CDGA-F,
2017,Star Wars: The Last Jedi,CDGA-F,
2017,Thor: Ragnarok,CDGA-F,
2017,Wonder Woman,CDGA-F,
2016,Absolutely Fabulous: The Movie,CDGA-C,N
2016,Captain Fantastic,CDGA-C,N
2016,Lion,CDGA-C,N
2016,Nocturnal Animals,CDGA-C,N
2016,The Dressmaker,CDGA-P,N
2016,Florence Foster Jenkins,CDGA-P,N
2016,"Hail, Caesar!",CDGA-P,N
2016,Jackie,CDGA-P,N
2016,Fantastic Beasts and Where to Find Them,CDGA-F,N
2016,Kubo and the Two Strings,CDGA-F,N
2016,Miss Peregrine's Home for Peculiar Children,CDGA-F,N
2016,Rogue One: A Star Wars Story,CDGA-F,N
2014,Boyhood,CDGA-C,N
2014,Gone Girl,CDGA-C,N
2014,Interstellar,CDGA-C,N
2014,Wild,CDGA-C,N
2014,The Imitation Game,CDGA-P,N
2014,Inherent Vice,CDGA-P,N
2014,Selma,CDGA-P,N
2014,The Theory of Everything,CDGA-P,N
2014,Guardians of the Galaxy,CDGA-F,N
2014,The Hobbit: The Battle of the Five Armies,CDGA-F,N
2014,"The Hunger Games: Mockingjay, Part 1",CDGA-F,N
2014,Maleficent,CDGA-F,N
2013,Her,CDGA-C,N
2013,Nebraska,CDGA-C,N
2013,Philomena,CDGA-C,N
2013,The Secret Life of Walter Mitty,CDGA-C,N
2013,American Hustle,CDGA-P,N
2013,Dallas Buyers Club,CDGA-P,N
2013,The Great Gatsby,CDGA-P,N
2013,Saving Mr. Banks,CDGA-P,N
2013,The Hobbit: The Desolation of Smaug,CDGA-F,N
2013,Oz: The Great and Powerful,CDGA-F,N
2015,Joy,CDGA-C,N
2015,Kingsman: The Secret Service,CDGA-C,N
2015,The Martian,CDGA-C,N
2015,Youth,CDGA-C,N
2015,Brooklyn,CDGA-P,N
2015,Carol,CDGA-P,N
2015,Crimson Peak,CDGA-P,N
2015,Trumbo,CDGA-P,N
2015,Cinderella,CDGA-F,N
2015,Ex Machina,CDGA-F,N
2015,"The Hunger Games: Mockingjay, Part 2",CDGA-F,N
2015,Star Wars: The Force Awakens,CDGA-F,N
2011,Bridesmaids,CDGA-C,N
2011,The Descendants,CDGA-C,N
2011,Drive,CDGA-C,N
2011,Melancholia,CDGA-C,N
2011,The Artist,CDGA-P,N
2011,Jane Eyre,CDGA-P,N
2011,The Help,CDGA-P,N
2011,Hugo,CDGA-P,N
2011,Pirates of the Caribbean: On Stranger Tides,CDGA-F,N
2011,Red Riding Hood,CDGA-F,N
2011,Thor,CDGA-F,N
2011,X-Men: First Class,CDGA-F,N
2010,Burlesque,CDGA-C,N
2010,Inception,CDGA-C,N
2010,The Social Network,CDGA-C,N
2010,Wall Street: Money Never Sleeps,CDGA-C,N
2010,The Fighter,CDGA-P,N
2010,True Grit,CDGA-P,N
2010,The Tempest,CDGA-F,N
2010,Tron: Legacy,CDGA-F,N
2009,(500) Days of Summer,CDGA-C,N
2009,Bruno,CDGA-C,N
2009,Precious: Based on the Novel Push by Sapphire,CDGA-C,N
2009,Up in the Air,CDGA-C,N
2009,Coco Before Chanel (Coco avant Chanel),CDGA-P,N
2009,Julie & Julia,CDGA-P,N
2009,Nine,CDGA-P,N
2009,Sherlock Holmes,CDGA-P,N
2009,Avatar,CDGA-F,N
2009,Star Trek,CDGA-F,N
2008,Iron Man,CDGA-C,N
2008,Mamma Mia!,CDGA-C,N
2008,Sex and the City,CDGA-C,N
2008,The Wrestler,CDGA-C,N
2008,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",CDGA-F,N
2008,The Mummy: Tomb of the Dragon Emperor,CDGA-F,N
2008,Changeling,CDGA-P,N
2008,The Curious Case of Benjamin Button,CDGA-P,N
2008,Milk,CDGA-P,N
2008,Revolutionary Road,CDGA-P,N
2007,The Diving Bell and the Butterfly,CDGA-C,N
2007,Into the Wild,CDGA-C,N
2007,Juno,CDGA-C,N
2007,Ocean's Thirteen,CDGA-C,N
2007,300,CDGA-F,N
2007,Enchanted,CDGA-F,N
2007,Harry Potter and the Order of the Phoenix,CDGA-F,N
2007,Pirates of the Caribbean: At World's End,CDGA-F,N
2007,3:10 to Yuma,CDGA-P,N
2007,Atonement,CDGA-P,N
2007,Elizabeth: The Golden Age,CDGA-P,N
2007,La Vie en Rose (La môme),CDGA-P,N
2006,Babel,CDGA-C,N
2006,Casino Royale,CDGA-C,N
2006,Little Miss Sunshine,CDGA-C,N
2006,The Devil Wears Prada,CDGA-C,N
2006,Eragon,CDGA-F,N
2006,The Fountain,CDGA-F,N
2006,X-Men: The Last Stand,CDGA-F,N
2006,V for Vendetta,CDGA-F,N
2006,Dream Girls,CDGA-P,N
2006,The Illusionist,CDGA-P,N
2006,Marie Antoinette,CDGA-P,N
2006,Pirates of the Caribbean: Dead Man's Chest,CDGA-P,N
2005,Hustle & Flow,CDGA-C,N
2005,Mr. & Mrs. Smith,CDGA-C,N
2005,Shopgirl,CDGA-C,N
2005,Syriana,CDGA-C,N
2005,Batman Begins,CDGA-F,N
2005,Charlie and the Chocolate Factory,CDGA-F,N
2005,Star Wars: Episode III - Revenge of the Sith,CDGA-F,N
2005,Capote,CDGA-P,N
